POST_ID,MS_ID,MS_SPACEID,CAP_COLOR,METER_TYPE,SMART_METE,ACTIVESENS,JURISDICTI,ON_OFF_STR,OSP_ID,STREET_NUM,STREETNAME,STREET_SEG,RATEAREA,SFPARKAREA,LOCATION
593-08380,-,0,Red,SS,N,N,SFMTA,ON,0,838,OFARRELL ST,9734000,Area 3,,"(37.7850532000, -122.4193220993)"
593-07150,-,0,Grey,SS,N,N,SFMTA,ON,0,715,OFARRELL ST,9733000,Area 3,,"(37.7852485989, -122.4168109984)"
440-08180,-,0,Grey,SS,N,N,SFMTA,ON,0,818,GEARY ST,6116000,Area 3,,"(37.7862793998, -122.4171863009)"
568-05530,-,0,Yellow,SS,Y,N,SFMTA,ON,0,553,MISSION ST,9090000,Area 5,Downtown,"(37.7887514018, -122.3987211023)"
359-06130,-,0,Grey,SS,N,N,SFMTA,ON,0,613,CLAY ST,4086000,Area 5,Downtown,"(37.7945681018, -122.4035915022)"
440-00270,-,0,Red,SS,N,N,SFMTA,ON,0,27,GEARY ST,6107000,Area 5,Downtown,"(37.7877872986, -122.4044442994)"
201-02170,-,0,Grey,SS,Y,N,SFMTA,ON,0,217,01ST ST,107000,Area 5,Downtown,"(37.7881623999, -122.3954028019)"
420-02030,-,0,Yellow,SS,N,N,SFMTA,ON,0,203,FREMONT ST,5863000,Area 5,Downtown,"(37.7891434011, -122.3948887006)"
444-01050,444-01001,5,Yellow,MS,Y,N,SFMTA,ON,0,105,GRANT AVE,6382000,Area 5,Downtown,"(37.7880289991, -122.4051593986)"
336-14020,-,0,Grey,SS,N,N,SFMTA,ON,0,1402,BUSH ST,3444000,Area 3,,"(37.7887442996, -122.4204833002)"
327-06160,-,0,Grey,SS,N,N,SFMTA,ON,0,616,BROADWAY,3154000,Area 3,,"(37.7978278016, -122.4076537021)"
327-06360,-,0,Grey,SS,N,N,SFMTA,ON,0,636,BROADWAY,3154000,Area 3,,"(37.7977624004, -122.4081799013)"
701-04080,701-04002,8,Grey,MS,Y,N,SFMTA,ON,0,408,VAN NESS AVE,13146201,Area 5,Civic Center,"(37.7794528984, -122.4199593977)"
701-02090,701-02001,9,Grey,MS,Y,N,SFMTA,ON,0,209,VAN NESS AVE,13145101,Area 5,Civic Center,"(37.7775761512, -122.4199057479)"
701-02110,701-02001,11,Grey,MS,Y,N,SFMTA,ON,0,211,VAN NESS AVE,13145101,Area 5,Civic Center,"(37.7776349698, -122.4199175329)"
701-05020,701-05002,2,Yellow,MS,Y,N,SFMTA,ON,0,502,VAN NESS AVE,13147201,Area 5,Civic Center,"(37.7802803990, -122.4201267005)"
724-00010,-,0,Green,SS,N,N,SFMTA,ON,0,1,WILLOW ST,13662000,Area 3,,"(37.7837258977, -122.4178166983)"
701-08150,-,0,Grey,SS,N,N,SFMTA,ON,0,815,VAN NESS AVE,13150101,Area 3,,"(37.7832493027, -122.4210528002)"
470-05380,-,0,Grey,SS,Y,N,SFMTA,ON,0,538,HOWARD ST,7033000,Area 5,Downtown,"(37.7878777002, -122.3969933015)"
472-09110,-,0,Grey,SS,N,N,SFMTA,ON,0,911,HYDE ST,7124000,Area 3,,"(37.7894812980, -122.4171691013)"
472-10110,-,0,Yellow,SS,N,N,SFMTA,ON,0,1011,HYDE ST,7125000,Area 3,,"(37.7903856997, -122.4173487981)"
542-10140,-,0,Grey,SS,N,N,SFMTA,ON,0,1014,LARKIN ST,8135000,Area 3,,"(37.7875165016, -122.4182901976)"
470-15190,-,0,Grey,SS,N,N,SFMTA,ON,0,1519,HOWARD ST,7057000,Area 3,,"(37.7726330020, -122.4159795974)"
612-11050,-,0,Grey,SS,N,N,SFMTA,ON,0,1105,POLK ST,10563000,Area 3,,"(37.7870533009, -122.4200521016)"
446-02060,-,0,Grey,SS,N,N,SFMTA,ON,0,206,GROVE ST,6555000,Area 5,Civic Center,"(37.7782438983, -122.4203320013)"
701-06270,701-06003,27,Grey,MS,Y,N,SFMTA,ON,0,627,VAN NESS AVE,13148101,Area 5,Civic Center,"(37.7817826987, -122.4207562988)"
331-06670,-,0,Grey,SS,Y,N,SFMTA,ON,0,667,BRYANT ST,3285000,Area 5,South Embarcadero,"(37.7781890974, -122.3996452016)"
331-06730,-,0,Yellow,SS,Y,N,SFMTA,ON,0,673,BRYANT ST,3285000,Area 5,South Embarcadero,"(37.7781074018, -122.3997493998)"
418-08150,-,0,Grey,SS,N,N,SFMTA,ON,0,815,FOLSOM ST,5664000,Area 5,South Embarcadero,"(37.7816626978, -122.4014622976)"
418-08170,-,0,Green,SS,N,N,SFMTA,ON,0,817,FOLSOM ST,5664000,Area 5,South Embarcadero,"(37.7816235990, -122.4015117005)"
616-14050,-,0,Yellow,SS,N,N,SFMTA,ON,0,1405,POWELL ST,10693000,Area 3,,"(37.7976055973, -122.4103741997)"
